tweet_id,mean pos,mean neg,Tweet,scores,classes
0,3,2,RT justinbiebcr The bigger the betterif you know what I mean ,1.5,negative
1,3,1,Listening to the New Age station on SlackerRadio  httpslackercomrnqKf,3,positive
2,1,1,I favorited a YouTube video  Drake and Josh  The Storm We will rock you httpyoutubev1Cib4kDPsIa,1,neutral
3,4,2,i didnt mean knee high I ment in lengt it goes down to my knees  and is so cute I love it,2,positive
4,2,1,I wana see the vid Kyan,2,positive
5,1,3,if my mom went on for the love of ray J or any reality show id bee pissed ,0.333333333,negative
6,1,1,Ok so I just got a deal for my own show For The Love Of Deez Nuts go to VH1deezNuts to apply R u here for Deez Nuts,1,neutral
7,3,1,Mrhilton1985 Welcome to Twitter xx,3,positive
8,2,1,kjbmusic oh yeah however Id still like to be in the midst of it all though u know,2,positive
9,2,2,Cant say I like the new facebook layout But just posted pics from my Super Bowl week ,1,neutral
10,2,1,I need a nice teadrinking pic for our Tea Club Membership page  anyone got one theyd be happy for me to use httpbitlyb1PWLh,2,positive
11,3,1,JonathanRKnight so twitpic it lol I love Home Depot love working wmy hands and building things my dad was in construction,3,positive
12,1,3,BarCough its enough to make you sick eh theres nothing sacred anymore,0.333333333,negative
13,3,2,Hacienda is now level 80 time to get epic gear for her Oh and maybe some sleep would be good,1.5,negative
14,1,1,DJ KCity presents Crank of America THE MIXTAPE wanna be on it DM me httptwitpiccom10tti2 PLS RT,1,neutral
15,1,3,Iran with its unity and Gods grace will punch the arrogance West 22nd of Bahman Feb 11 in a way that will leave them stunned,0.333333333,negative
16,4,3,TiffyStarz wtf where i come from noone likes metal and hardcore like 5 of my mates max are fully into metal it sucks i love metalll L,1.333333333,negative
17,1,1,wwwmoneyhackersorg Reasons why entrepreneurs to venture in Nursing Agencies  Best  Reasons why entrepreneur httpbitlybvgzLs,1,neutral
18,1,2,4WordsOnObamasHand Dont Say The NWord,0.5,negative
19,1,3,City watchdog in chaos as chief executive Hector Sants resigns just months before general election,0.333333333,negative
20,2,1,RT MangaUK God it is a big news day today By popular demand Ah My Goddess Season 2 will be released in 3 2disc sets May Jul Sep,2,positive
21,2,2,Wow my sis said she gona get a tramp stamp tat LOL I told her its to late for that ha ha evil laugh,1,neutral
22,3,2,russmarshalek Sold Would love to be your crazyass big sis  how could I say no Cannot believe I broke or minimally battered my toe ,1.5,negative
23,2,1,zzramesses yes hope to release that feature next month,2,positive
24,1,1,Phil Collins You Cant Hurry Love,1,neutral
25,2,3,i need money i need new car jesussomebody please buy my old car DDD,0.666666667,negative
26,2,3,In ny wif DJWALLAH and the Heavy Hitter crew shout to freddyphh for looking real gay in the cameralol,0.666666667,negative
27,3,1,RT RockinGreenSoap I Flipin Love rockingreensoap Follow them to win a free Flip Camera RT Please httptinyurlcomyffv2pg clothdiapers,3,positive
28,1,3,ShiedhaO well damn Renee still aint playin is she and neither is Jack LikasParody,0.333333333,negative
29,1,2,heydusti oh geez Id have a lot more songs that way,0.5,negative
30,1,1,natuhtack I will have some apple chicken sausage delivered to you,1,neutral
31,1,2,wendywave1 HAHAHAH that was worded weird Im reading while a candle is burning in my room,0.5,negative
32,1,1,KantGitRite you should follow me while ur at it u tickle my dick with ur comments,1,neutral
33,2,2,RT importantdate You can preview the exclusive Tim Burtons Alice Boutique opening 211 Its a curious collection httpowly15uSt,1,neutral
34,2,2,iJuslisen pretty much my gi need a bangerget it to the bloggerslets do it,1,neutral
35,2,2,Photo Chace Crawford Oh man I can look at pictures of him all day BUT i have homework to get back to so httptumblrcomxbf6aoc1l,1,neutral
36,1,1,Commission Ritual PS I want to make this perfectly clear Commission Ritual will get your sites multiple fi httpbitly7dqvqj,1,neutral
37,1,2,On Insurance and Hospitals I wonder if there is a connection between the hospital system overload and the format httpbitlyd9QIc5,0.5,negative
38,1,2,Chilling textin   To much infoforeal you know its los ward yung squad bitch,0.5,negative
39,1,1,Twitter Background  Reviews News and How To Geeks This is my Twitter background for my Personal Twitter httpbitlybdbijW,1,neutral
40,1,2,Your busy schedule might not leave you a lot of room today for More for Scorpio httptwittascopecomtwittascopesign8,0.5,negative
41,1,1,RT MidieastBozz RT Frayz Check out  wwwMidieastMovementcom Thats a BrandName httpmylocme3Dy7o,1,neutral
42,2,1,Photo via fuckyeahkristinchenoweth omgomgomgomg MAY 19TH httptumblrcomx7269s2mn,2,positive
43,1,1,Winter Olympics An AddOn to the Modern Games httpbitly9BP1lc,1,neutral
44,1,2,Heres a new ideahow about i get you a spoon so you can read my ass,0.5,negative
45,1,1,Equipped a Gamma Mittens epicpetwars httpwwwepicpetwarscom,1,neutral
46,2,1,RT FriendsTVFan RetweetTHisIf you want FriendsTheMovie via LisaKudrow,2,positive
47,2,2,alexabimanyu as for now nope Use XL for cheaper rate of prepaid and postpaid roaming,1,neutral
48,1,1,Its A Bird Its A Plane Its Chris Nolan Hell Mentor Superman 30 And Prep 3rd httpbitlydnSFmU,1,neutral
49,1,3,Andy is rambling on CC this morning  shutup and get on with it man,0.333333333,negative
50,1,3,tigerlilybubu lol where are you I once forgot the car completely and left home without it,0.333333333,negative
51,1,1,Grow on Twitter with Tweet Automator httpbitlydwxFHu,1,neutral
52,1,2,LSal92 and yet they are a minority  despite the election law being changed to skew things in Aouns favor they remain a minority,0.5,negative
53,2,2,count the sheeps and you can sleep  RT RaissaArif its time to sleep actually but i cant sleephmmm ill try,1,neutral
54,2,1,The Newest Member of  yehbuddy,2,positive
55,2,1,SeaNanners Hey Adam JPizzle1122 the microwave dude on utube seems to have a good live stream for MW2 maybe ask for his help,2,positive
56,2,1,Little Caesars Large Cheese or Pepperoni  No Limit  210 for 399,2,positive
57,1,2,oh my goodness Im emo,0.5,negative
58,1,2,DinJee wait wait waitim confusedare you there,0.5,negative
59,2,1,RT Arranwhisky New Arran Malt Competition just posted on wwwarranwhiskycomDefaultaspxpageCompetition Free bottle and chocolates,2,positive
60,1,3,emm my lip is starting to hurt ,0.333333333,negative
61,1,3,Finally off work Gonna go home and try to sleep whatever this is off so I can go to my other job I hate to miss work,0.333333333,negative
62,1,3,TED travel off to rocky start thanks to wayward wallet JUST made my flight but horridly tense,0.333333333,negative
63,3,1,RT 50 Awesome Twitter Tips to become a Pro httpowly14LjW via virtuosoblogger,3,positive
64,3,1,JBieberboyyy i was thinking that i wanna make a Cake party in my house O lol,3,positive
65,3,1,httpwwwyoutubecomwatchv0TpGvMh6Uowfeatureplayerembedded Check it out In the middle of London SO COOL,3,positive
66,1,1,This cares about Internet marketing resources kitti joined this as a marketer httpihidusinoj,1,neutral
67,3,1,Mountains trees and beautiful cottonish blue sky I will fly ,3,positive
68,4,1,justinbieber follow me please your great and it would make my day btw i wanna shampoo your hair D lmao 3,4,positive
69,2,2,RT KLM RT tiesto Last chance to meet tiesto in Bangkok w KLM Tell your friends  increase the chance of winning together httptinyccEi5hB,1,neutral
70,2,2,Lets trade McNabb to the Broncos and get Brandon Marshall That team has potentialnot w Kyle Orton at QB tho,1,neutral
71,1,1,RT chriscolfer I hereby name all the Kurt fans as the Kurtsies,1,neutral
